sp;gen;fam;Growth_Rings;Vessel_porosity;Vessel_arangement;Perforation_plates; Intervessel_pits_arregement;Mean_tangential_diameter_of_vessel_lumina;Ground_tissue_fibres;Septa_in_fibers;Fibre_wall_thickness;Parenchyma_Paratracheal;Type_of_parenchyma_banding;Ray_width;Rays_cellular_composition;list_meanMAP;list_meanMAT;list_meanTS;list_meanPDQ
Citharexylum_spinosum;Citharexylum;VERBENACEAE;1;1;3;1;2;2;0;0;1;1;4;1;2;960.5588235;23.2877166;343.2170973;96.35294118
Citharexylum_tetramerum;Citharexylum;VERBENACEAE;0;2;3;0;2;2;0;0;1;1;5;2;3;902.6428571;24.06273261;88.20324503;14.57142857
Citronella_silvatica;Citronella;CARDIOPTERIDACEAE;0;2;1;0;2;1;0;1;1;1;5;1;3;2611.909091;26.10803912;49.76604948;244.2727273
Citrus_maxima;Citrus;RUTACEAE;1;2;3;1;1;2;1;1;1;1;5;2;5;2337.55;26.56395359;39.92043819;276.875
Citrus_medica;Citrus;RUTACEAE;1;2;3;0;2;1;0;1;1;1;4;2;2;874.5138889;20.83558432;173.52646;24.40277778
Clavija_lancifolia;Clavija;PRIMULACEAE;1;2;3;0;2;2;0;1;1;1;5;2;3;2274.515152;25.97065747;60.09074115;228.1818182
Clavija_spp.;Clavija;PRIMULACEAE;1;2;3;0;2;0;0;0;1;1;5;2;5;1330.386207;21.80919475;202.840326;124.0275862
Clavija_umbrosa;Clavija;PRIMULACEAE;1;2;3;0;2;0;0;0;2;1;5;2;5;1706.895639;24.13297089;208.9147569;123.5046729
Clerodendrum_molle;Clerodendrum;LAMIACEAE;1;2;3;0;2;0;0;0;1;1;5;3;2;2629.425287;24.62890331;72.00462297;185.7097701
Clethra_mexicana;Clethra;CLETHRACEAE;1;2;3;0;2;1;0;1;1;1;5;1;5;2667.636364;26.09583667;44.61947634;458.4545455
Clethra_ovalifolia;Clethra;CLETHRACEAE;1;2;3;1;1;1;1;1;1;0;5;2;4;2369.310598;25.64656049;65.67834291;286.5183631
Clethra_pringlei;Clethra;CLETHRACEAE;1;2;3;1;2;1;1;1;1;0;5;2;4;2421.78125;25.6421627;55.43685872;311.78125
Clethra_scabra;Clethra;CLETHRACEAE;0;2;3;2;1;0;1;1;1;1;5;2;3;1664.717934;20.99742953;269.8610763;170.9877031
Cleyera_integrifolia;Cleyera;PENTAPHYLACACEAE;1;2;3;1;1;1;0;1;1;0;5;2;4;960.5588235;23.2877166;343.2170973;96.35294118
Cleyera_SPP.;Cleyera;PENTAPHYLACACEAE;0;2;3;1;0;1;1;1;1;1;5;1;4;902.6428571;24.06273261;88.20324503;14.57142857
Clidemia_SPP.;Clidemia;MELASTOMATACEAE;0;2;3;1;2;0;2;1;1;1;5;1;4;2611.909091;26.10803912;49.76604948;244.2727273
Clusia_alata;Clusia;CLUSIACEAE;1;2;3;0;2;1;0;1;1;1;5;0;1;2337.55;26.56395359;39.92043819;276.875
Clusia_SP.;Clusia;CLUSIACEAE;0;2;3;0;0;1;1;0;1;1;5;2;4;874.5138889;20.83558432;173.52646;24.40277778
Clusia_SPP.;Clusia;CLUSIACEAE;1;2;3;0;0;2;0;0;2;1;5;2;3;2274.515152;25.97065747;60.09074115;228.1818182
Cnestidium_guianense;Cnestidium;CONNARACEAE;1;2;3;0;0;1;0;1;1;1;5;1;4;1330.386207;21.80919475;202.840326;124.0275862
Coccoloba_acuminata;Coccoloba;POLYGONACEAE;0;2;1;0;2;2;1;1;1;0;5;0;5;1706.895639;24.13297089;208.9147569;123.5046729
Coccoloba_barbadensis;Coccoloba;POLYGONACEAE;1;2;3;0;2;1;0;0;2;0;5;0;0;2629.425287;24.62890331;72.00462297;185.7097701
Coccoloba_hondurensis;Coccoloba;POLYGONACEAE;0;2;1;0;2;1;0;0;1;1;5;0;2;2667.636364;26.09583667;44.61947634;458.4545455
Coccoloba_microstachya;Coccoloba;POLYGONACEAE;1;2;3;0;2;2;0;0;1;1;5;2;2;2369.310598;25.64656049;65.67834291;286.5183631
Coccoloba_pyrifolia;Coccoloba;POLYGONACEAE;0;2;3;0;2;1;0;0;1;1;5;0;0;2421.78125;25.6421627;55.43685872;311.78125
Coccoloba_sintenisii;Coccoloba;POLYGONACEAE;1;2;3;0;2;1;0;0;1;0;5;0;5;1664.717934;20.99742953;269.8610763;170.9877031
Coccoloba_uvifera;Coccoloba;POLYGONACEAE;1;2;3;0;2;1;0;0;1;0;5;0;0;960.5588235;23.2877166;343.2170973;96.35294118
Cochlospermum_orinoccense;Cochlospermum;BIXACEAE;1;2;3;0;2;1;0;0;2;1;5;0;0;902.6428571;24.06273261;88.20324503;14.57142857
Cochlospermum_SPP.;Cochlospermum;BIXACEAE;1;2;3;0;2;2;0;1;0;1;0;2;2;2611.909091;26.10803912;49.76604948;244.2727273
Cochlospermum_vitifolium;Cochlospermum;BIXACEAE;1;2;3;0;2;1;0;1;0;1;0;2;3;2337.55;26.56395359;39.92043819;276.875
