sp;gen;fam;Growth_Rings;Vessel_porosity;Vessel_arangement;Perforation_plates; Intervessel_pits_arregement;Mean_tangential_diameter_of_vessel_lumina;Ground_tissue_fibres;Septa_in_fibers;Fibre_wall_thickness;Parenchyma_Paratracheal;Type_of_parenchyma_banding;Ray_width;Rays_cellular_composition;list_meanMAP;list_meanMAT;list_meanTS;list_meanPDQ
Cupania_SPP.;Cupania;SAPINDACEAE;0;2;3;0;2;1;0;1;1;1;5;0;0;2667.636364;26.09583667;44.61947634;458.4545455
Curarea_candicans;Curarea;MENISPERMACEAE;1;2;3;0;2;1;0;1;1;1;5;0;2;2369.310598;25.64656049;65.67834291;286.5183631
Curatella_americana;Curatella;DILLENIACEAE;1;2;3;0;2;2;1;1;1;1;5;3;0;2421.78125;25.6421627;55.43685872;311.78125
Curupira_SPP.;Curupira;OLACACEAE;1;2;3;0;1;2;2;1;1;1;5;3;5;1664.717934;20.99742953;269.8610763;170.9877031
Cuspidaria_convoluta;Cuspidaria;BIGNONIACEAE;1;2;3;0;2;2;1;1;2;1;5;1;2;960.5588235;23.2877166;343.2170973;96.35294118
Cuspidaria_lateriflora;Cuspidaria;BIGNONIACEAE;0;1;3;0;2;2;0;0;1;1;0;2;5;902.6428571;24.06273261;88.20324503;14.57142857
Cuspidaria_pulchra;Cuspidaria;BIGNONIACEAE;1;2;3;0;2;1;0;1;1;1;1;1;0;2611.909091;26.10803912;49.76604948;244.2727273
Cyclophyllum_barbatum;Cyclophyllum;RUBIACEAE;1;2;0;0;2;1;0;1;2;1;0;1;0;2337.55;26.56395359;39.92043819;276.875
Cymbopetalum_baillonii;Cymbopetalum;ANNONACEAE;1;2;3;0;2;1;2;1;2;0;5;1;4;874.5138889;20.83558432;173.52646;24.40277778
Cymbopetalum_brasiliense;Cymbopetalum;ANNONACEAE;0;0;3;0;2;2;0;1;1;0;1;1;2;2274.515152;25.97065747;60.09074115;228.1818182
Cymbopetalum_spp.;Cymbopetalum;ANNONACEAE;1;2;3;0;2;2;0;1;1;0;1;1;2;1330.386207;21.80919475;202.840326;124.0275862
Cyrtocarpa_procera;Cyrtocarpa;ANACARDIACEAE;1;2;3;0;2;1;0;0;1;1;5;1;2;1706.895639;24.13297089;208.9147569;123.5046729
Cyrtocarpa_SPP.;Cyrtocarpa;ANACARDIACEAE;1;2;3;0;2;1;0;0;1;1;5;2;2;2629.425287;24.62890331;72.00462297;185.7097701
Cyrtocarpa_velutinifolia;Cyrtocarpa;ANACARDIACEAE;0;2;3;0;2;1;0;0;1;1;5;2;2;2667.636364;26.09583667;44.61947634;458.4545455
Dacryodes_kukachkana;Dacryodes;BURSERACEAE;1;2;3;0;2;2;0;1;1;1;5;1;3;2369.310598;25.64656049;65.67834291;286.5183631
Dacryodes_occidentalis;Dacryodes;BURSERACEAE;1;2;3;0;2;2;0;0;1;0;5;1;2;2421.78125;25.6421627;55.43685872;311.78125
Dacryodes_SPP.;Dacryodes;BURSERACEAE;1;2;3;0;2;1;0;0;1;0;5;1;2;1664.717934;20.99742953;269.8610763;170.9877031
Daphnopsis_macrophylla;Daphnopsis;THYMELAEACEAE;1;2;3;0;2;2;0;0;1;1;5;1;2;960.5588235;23.2877166;343.2170973;96.35294118
Daphnopsis_philippiana;Daphnopsis;THYMELAEACEAE;1;2;3;0;2;1;1;1;0;1;4;1;3;902.6428571;24.06273261;88.20324503;14.57142857
Declieuxia_spp;Declieuxia;RUBIACEAE;0;2;1;0;2;0;0;1;1;0;1;1;3;2611.909091;26.10803912;49.76604948;244.2727273
Delostoma_integrifolium;Delostoma;BIGNONIACEAE;1;2;3;0;2;0;0;1;1;0;5;1;4;2337.55;26.56395359;39.92043819;276.875
Dendrobangia_boliviana;Dendrobangia;CARDIOPTERIDACEAE;0;2;1;0;2;1;0;0;1;1;4;2;2;874.5138889;20.83558432;173.52646;24.40277778
Dendropanax_arboreus;Dendropanax;ARALIACEAE;1;2;3;1;1;2;2;1;1;1;1;2;3;2274.515152;25.97065747;60.09074115;228.1818182
Dendropanax_cuneatus;Dendropanax;ARALIACEAE;1;2;3;0;2;2;0;0;0;1;5;2;2;1330.386207;21.80919475;202.840326;124.0275862
Dendropanax_gonatopodus;Dendropanax;ARALIACEAE;1;2;3;1;2;1;2;0;0;1;5;2;2;1706.895639;24.13297089;208.9147569;123.5046729
Desmopsis_SPP.;Desmopsis;ANNONACEAE;1;2;3;0;0;1;0;1;1;0;5;0;1;2629.425287;24.62890331;72.00462297;185.7097701
Diacidia_vestita;Diacidia;MALPIGHIACEAE;1;2;3;0;2;1;2;1;1;0;1;2;2;2667.636364;26.09583667;44.61947634;458.4545455
Diclinanona_calycina;Diclinanona;ANNONACEAE;1;2;3;0;2;1;0;1;1;1;4;0;0;2369.310598;25.64656049;65.67834291;286.5183631
Dicranostyles_guianensis;Dicranostyles;CONVOLVULACEAE;1;2;3;0;2;2;1;1;1;0;2;1;3;2421.78125;25.6421627;55.43685872;311.78125
Dicranostyles_mildbraediana;Dicranostyles;CONVOLVULACEAE;1;2;3;0;2;3;2;1;1;1;1;1;2;1664.717934;20.99742953;269.8610763;170.9877031
Dicranostyles_villosus;Dicranostyles;CONVOLVULACEAE;1;2;3;0;2;3;2;1;1;1;1;2;2;960.5588235;23.2877166;343.2170973;96.35294118
Dictyoloma_vandellianum;Dictyoloma;RUTACEAE;1;2;3;0;2;3;2;1;1;1;1;2;4;902.6428571;24.06273261;88.20324503;14.57142857
Dicypellium_SP.;Dicypellium;LAURACEAE;0;2;3;0;2;2;0;1;1;1;5;1;2;2611.909091;26.10803912;49.76604948;244.2727273
Dilkea_johannesii;Dilkea;PASSIFLORACEAE;1;2;3;0;2;2;0;1;1;1;5;1;0;2337.55;26.56395359;39.92043819;276.875
Dilodendron_bipinnatum;Dilodendron;SAPINDACEAE;1;2;0;0;2;2;1;1;1;1;1;2;2;874.5138889;20.83558432;173.52646;24.40277778
Diospyros_aff.;Diospyros;EBENACEAE;1;2;3;0;2;2;0;1;1;1;0;1;0;2274.515152;25.97065747;60.09074115;228.1818182
Diospyros_cayennensis;Diospyros;EBENACEAE;1;2;3;0;2;2;1;1;1;0;1;1;3;1330.386207;21.80919475;202.840326;124.0275862
Diospyros_crassinervis;Diospyros;EBENACEAE;1;2;3;0;2;2;0;1;1;1;1;1;2;1706.895639;24.13297089;208.9147569;123.5046729
Diospyros_guianensis;Diospyros;EBENACEAE;1;2;3;0;2;1;0;1;2;0;1;0;2;2629.425287;24.62890331;72.00462297;185.7097701
Diospyros_hispida;Diospyros;EBENACEAE;1;2;3;0;2;1;0;1;1;1;1;0;3;2667.636364;26.09583667;44.61947634;458.4545455
Diospyros_virginiana;Diospyros;EBENACEAE;1;2;3;0;2;2;0;1;1;0;5;1;5;2369.310598;25.64656049;65.67834291;286.5183631
Diploon_cuspidatum;Diploon;SAPOTACEAE;0;1;3;0;2;2;0;1;1;1;1;1;2;2421.78125;25.6421627;55.43685872;311.78125
Dodecastigma_SP.;Dodecastigma;EUPHORBIACEAE;1;2;3;0;1;1;2;1;2;1;1;2;4;1664.717934;20.99742953;269.8610763;170.9877031
Dodonaea_SPP.;Dodonaea;SAPINDACEAE;1;2;3;0;2;2;0;1;1;0;1;0;4;960.5588235;23.2877166;343.2170973;96.35294118
Dodonaea_viscosa;Dodonaea;SAPINDACEAE;1;2;3;0;2;1;0;1;2;1;4;0;2;902.6428571;24.06273261;88.20324503;14.57142857
Doerpfeldia_cubensis;Doerpfeldia;RHAMNACEAE;1;2;3;0;2;1;0;1;1;1;0;1;2;2611.909091;26.10803912;49.76604948;244.2727273
Dolichandra_unguis-cati;Dolichandra;BIGNONIACEAE;1;2;3;0;2;1;2;1;1;1;1;1;2;2337.55;26.56395359;39.92043819;276.875
Drymonia_spectabilis;Drymonia;GESNERIACEAE;1;2;1;0;2;2;1;1;2;1;1;1;3;874.5138889;20.83558432;173.52646;24.40277778
Drypetes_alba;Drypetes;PUTRANJAVACEAE;1;2;3;0;2;2;0;0;1;0;5;3;5;2274.515152;25.97065747;60.09074115;228.1818182
Drypetes_variabilis;Drypetes;PUTRANJAVACEAE;1;2;3;1;1;1;0;1;1;0;5;1;2;1330.386207;21.80919475;202.840326;124.0275862
Duckeodendron_cestroides;Duckeodendron;SOLANACEAE;1;2;3;0;2;2;0;1;2;0;5;1;4;1706.895639;24.13297089;208.9147569;123.5046729
Duguetia_lanceolata;Duguetia;ANNONACEAE;1;2;3;1;2;2;1;1;2;1;5;1;3;2629.425287;24.62890331;72.00462297;185.7097701
Duguetia_quitarensis;Duguetia;ANNONACEAE;1;2;3;0;2;1;0;1;1;1;1;2;0;2667.636364;26.09583667;44.61947634;458.4545455
Duguetia_uniflora;Duguetia;ANNONACEAE;0;2;3;0;2;1;0;1;1;1;4;2;0;2369.310598;25.64656049;65.67834291;286.5183631
Dulacia_candida;Dulacia;OLACACEAE;1;2;3;0;2;2;0;1;0;0;1;2;0;2421.78125;25.6421627;55.43685872;311.78125
Dulacia_guianensis;Dulacia;OLACACEAE;1;2;3;0;2;0;2;1;1;1;5;2;2;1664.717934;20.99742953;269.8610763;170.9877031
Duranta_SP.;Duranta;VERBENACEAE;1;2;3;0;2;2;1;1;1;1;5;1;2;960.5588235;23.2877166;343.2170973;96.35294118
Duroia_aquatica;Duroia;RUBIACEAE;1;2;3;0;2;1;0;1;1;0;5;1;4;902.6428571;24.06273261;88.20324503;14.57142857
Duroia_fusifera;Duroia;RUBIACEAE;1;2;3;0;2;2;1;1;2;0;1;1;4;2611.909091;26.10803912;49.76604948;244.2727273
Duroia_hirsuta;Duroia;RUBIACEAE;1;2;3;0;2;1;1;1;1;0;5;2;4;2337.55;26.56395359;39.92043819;276.875
Duroia_SPP.;Duroia;RUBIACEAE;1;2;3;0;2;0;1;1;2;0;5;1;4;874.5138889;20.83558432;173.52646;24.40277778
Ecclinusa_guianensis;Ecclinusa;SAPOTACEAE;1;2;3;0;2;2;1;1;2;1;1;1;4;2274.515152;25.97065747;60.09074115;228.1818182
Ecclinusa_lanceolata;Ecclinusa;SAPOTACEAE;1;2;1;0;2;1;0;1;1;0;1;1;4;1330.386207;21.80919475;202.840326;124.0275862
Ecclinusa_SPP.;Ecclinusa;SAPOTACEAE;1;2;1;0;2;2;0;1;1;0;1;1;4;1706.895639;24.13297089;208.9147569;123.5046729
Ehretia_latifolia;Ehretia;BORAGINACEAE;1;2;1;0;2;1;0;1;1;0;2;1;4;2629.425287;24.62890331;72.00462297;185.7097701
Ekmanianthe_actinophylla;Ekmanianthe;BIGNONIACEAE;1;2;3;0;2;2;0;1;1;1;1;2;2;2667.636364;26.09583667;44.61947634;458.4545455
Elaeagia_SP.;Elaeagia;RUBIACEAE;0;2;3;0;2;2;0;1;1;1;4;1;0;2369.310598;25.64656049;65.67834291;286.5183631
Elaeodendron_xylocarpum;Elaeodendron;CELASTRACEAE;1;2;3;0;2;1;0;0;1;0;5;2;4;2421.78125;25.6421627;55.43685872;311.78125
Elaeoluma_glabrescens;Elaeoluma;SAPOTACEAE;1;2;3;1;2;0;1;0;1;0;5;1;3;1664.717934;20.99742953;269.8610763;170.9877031
Emmotum_fagifolium;Emmotum;ICACINACEAE;1;2;3;0;2;0;1;1;2;0;5;1;4;960.5588235;23.2877166;343.2170973;96.35294118
Endlicheria_lhotzkyi;Endlicheria;LAURACEAE;1;2;3;1;1;2;1;1;2;1;5;3;3;902.6428571;24.06273261;88.20324503;14.57142857
Endlicheria_multiflora;Endlicheria;LAURACEAE;1;2;3;0;2;2;0;1;1;1;5;1;3;2611.909091;26.10803912;49.76604948;244.2727273
Eremanthus_goyazensis;Eremanthus;ASTERACEAE;1;2;3;1;2;2;1;1;2;1;5;1;4;2337.55;26.56395359;39.92043819;276.875
Erisma_SPP.;Erisma;VOCHYSIACEAE;0;2;3;0;2;0;0;1;2;1;4;1;4;874.5138889;20.83558432;173.52646;24.40277778
Erithalis_SP.;Erithalis;RUBIACEAE;1;2;3;0;2;3;0;1;1;0;0;2;3;2274.515152;25.97065747;60.09074115;228.1818182
Erythrochiton_SP.;Erythrochiton;RUTACEAE;1;2;3;0;2;1;1;1;2;0;5;1;4;1330.386207;21.80919475;202.840326;124.0275862
Erythroxylum_amazonicum;Erythroxylum;ERYTHROXYLACEAE;1;2;3;0;2;0;0;0;2;1;4;1;3;1706.895639;24.13297089;208.9147569;123.5046729
Erythroxylum_areolatum;Erythroxylum;ERYTHROXYLACEAE;1;2;3;0;2;2;0;1;2;1;5;1;3;2629.425287;24.62890331;72.00462297;185.7097701
Erythroxylum_citrifolium;Erythroxylum;ERYTHROXYLACEAE;1;2;3;0;2;1;0;1;2;1;5;1;4;2667.636364;26.09583667;44.61947634;458.4545455
Erythroxylum_deciduum;Erythroxylum;ERYTHROXYLACEAE;1;2;3;0;2;1;0;1;2;1;5;1;4;2369.310598;25.64656049;65.67834291;286.5183631
Erythroxylum_passerinum;Erythroxylum;ERYTHROXYLACEAE;0;2;3;0;2;0;0;1;1;0;1;1;4;2421.78125;25.6421627;55.43685872;311.78125
Erythroxylum_pelleterianum;Erythroxylum;ERYTHROXYLACEAE;1;2;3;0;2;1;1;1;2;0;1;1;3;1664.717934;20.99742953;269.8610763;170.9877031
Erythroxylum_suberosum;Erythroxylum;ERYTHROXYLACEAE;0;2;1;0;2;1;1;1;2;1;5;1;2;960.5588235;23.2877166;343.2170973;96.35294118
Erythroxylum_substriatum;Erythroxylum;ERYTHROXYLACEAE;1;2;3;0;2;0;1;1;1;1;1;1;2;902.6428571;24.06273261;88.20324503;14.57142857
Escallonia_myrtilloides;Escallonia;ESCALLONIACEAE;0;0;3;0;1;1;2;1;1;0;5;2;4;2611.909091;26.10803912;49.76604948;244.2727273
Escallonia_tortuosa;Escallonia;ESCALLONIACEAE;1;2;3;1;0;0;1;1;1;0;5;1;4;2337.55;26.56395359;39.92043819;276.875
Eschweilera_alata;Eschweilera;LECYTHIDACEAE;1;2;3;1;1;0;1;1;2;0;5;1;4;874.5138889;20.83558432;173.52646;24.40277778
Eschweilera_coriacea;Eschweilera;LECYTHIDACEAE;1;2;3;0;2;2;0;1;2;1;1;1;2;2274.515152;25.97065747;60.09074115;228.1818182
Eschweilera_pedicellata;Eschweilera;LECYTHIDACEAE;1;2;3;0;2;3;0;1;2;0;1;1;0;1330.386207;21.80919475;202.840326;124.0275862
Eschweilera_tenax;Eschweilera;LECYTHIDACEAE;1;2;3;0;2;3;0;1;2;1;1;1;2;1706.895639;24.13297089;208.9147569;123.5046729
Esenbeckia_alata;Esenbeckia;RUTACEAE;1;2;3;0;2;2;0;1;2;0;2;1;0;2629.425287;24.62890331;72.00462297;185.7097701
Esenbeckia_berlandieri;Esenbeckia;RUTACEAE;0;2;3;0;2;1;0;1;2;1;4;1;3;2667.636364;26.09583667;44.61947634;458.4545455
Esenbeckia_pilocarpoides;Esenbeckia;RUTACEAE;1;2;3;0;2;0;0;1;1;0;4;1;4;2369.310598;25.64656049;65.67834291;286.5183631
Espadaea_SP.;Espadaea;GOETZEACEAE;1;2;3;0;2;0;0;1;2;1;5;1;2;2421.78125;25.6421627;55.43685872;311.78125
Eugenia_acapulcensis;Eugenia;MYRTACEAE;1;2;1;0;2;0;2;1;1;0;5;1;3;1664.717934;20.99742953;269.8610763;170.9877031
Eugenia_axillaris;Eugenia;MYRTACEAE;1;2;3;0;2;2;1;1;2;0;1;1;3;960.5588235;23.2877166;343.2170973;96.35294118
Eugenia_biflora;Eugenia;MYRTACEAE;1;2;3;0;2;1;1;1;1;0;1;1;4;902.6428571;24.06273261;88.20324503;14.57142857
Eugenia_capuli;Eugenia;MYRTACEAE;0;2;1;0;2;1;2;1;2;0;1;1;4;2611.909091;26.10803912;49.76604948;244.2727273
Eugenia_cerasiflora;Eugenia;MYRTACEAE;1;2;3;0;2;0;0;1;2;0;5;1;2;2337.55;26.56395359;39.92043819;276.875
Eugenia_cuprea;Eugenia;MYRTACEAE;0;2;1;0;2;1;0;1;1;0;5;1;4;874.5138889;20.83558432;173.52646;24.40277778
Eugenia_padronii;Eugenia;MYRTACEAE;0;2;3;0;2;1;0;1;2;0;1;1;2;2274.515152;25.97065747;60.09074115;228.1818182
Eugenia_patrisii;Eugenia;MYRTACEAE;1;2;3;0;2;1;2;1;2;0;1;1;2;1330.386207;21.80919475;202.840326;124.0275862
Eugenia_rigida;Eugenia;MYRTACEAE;1;2;1;0;2;1;1;1;2;0;2;1;4;1706.895639;24.13297089;208.9147569;123.5046729
Eugenia_SPP.;Eugenia;MYRTACEAE;0;2;3;0;2;0;1;1;2;0;1;1;2;2629.425287;24.62890331;72.00462297;185.7097701
Euphorbia_schlechtendalii;Euphorbia;EUPHORBIACEAE;1;2;3;0;2;1;0;1;2;1;1;2;4;2667.636364;26.09583667;44.61947634;458.4545455
Euphronia_spp.;Euphronia;EUPHRONIACEAE;1;2;3;0;2;2;0;1;1;0;2;2;2;2369.310598;25.64656049;65.67834291;286.5183631
Euplassa_cantareirae;Euplassa;PROTEACEAE;1;2;3;0;2;2;1;1;2;1;5;1;3;2421.78125;25.6421627;55.43685872;311.78125
Euplassa_pinnata;Euplassa;PROTEACEAE;1;2;0;0;2;2;0;1;1;0;0;3;0;1664.717934;20.99742953;269.8610763;170.9877031
Eurya_mexicana;Eurya;PENTAPHYLACACEAE;1;2;3;0;2;3;1;1;1;0;1;3;2;960.5588235;23.2877166;343.2170973;96.35294118
Exellodendron_coriaceum;Exellodendron;CHRYSOBALANACEAE;1;2;3;0;2;2;0;1;2;1;5;2;2;902.6428571;24.06273261;88.20324503;14.57142857
Exostema_caribaeum;Exostema;RUBIACEAE;1;2;3;0;2;2;1;1;2;0;1;0;3;2611.909091;26.10803912;49.76604948;244.2727273
Exostema_mexicanum;Exostema;RUBIACEAE;1;2;3;0;2;1;1;1;1;1;5;1;4;2337.55;26.56395359;39.92043819;276.875
Exothea_diphylla;Exothea;SAPINDACEAE;1;2;3;0;2;0;1;1;2;0;5;1;3;874.5138889;20.83558432;173.52646;24.40277778
Faramea_occidentalis;Faramea;RUBIACEAE;1;2;3;0;2;1;0;1;1;1;5;1;2;2274.515152;25.97065747;60.09074115;228.1818182
Faramea_salicifolia;Faramea;RUBIACEAE;1;2;3;0;2;1;0;1;1;1;5;2;3;1330.386207;21.80919475;202.840326;124.0275862
Ferdinandusa_SP.;Ferdinandusa;RUBIACEAE;1;2;3;0;2;1;1;0;1;0;5;1;4;1706.895639;24.13297089;208.9147569;123.5046729
Ficus_aurea;Ficus;MORACEAE;1;2;3;0;2;2;1;0;2;1;5;2;3;2629.425287;24.62890331;72.00462297;185.7097701
Ficus_caballina;Ficus;MORACEAE;1;2;3;0;2;2;0;1;1;1;0;2;2;2667.636364;26.09583667;44.61947634;458.4545455
Ficus_citrifolia;Ficus;MORACEAE;1;2;3;0;2;2;0;1;1;0;0;2;2;2369.310598;25.64656049;65.67834291;286.5183631
Ficus_guaranitica;Ficus;MORACEAE;1;2;3;0;2;2;0;1;1;0;0;2;2;2421.78125;25.6421627;55.43685872;311.78125
Ficus_insipida;Ficus;MORACEAE;1;2;3;0;2;2;0;1;0;0;0;1;2;1664.717934;20.99742953;269.8610763;170.9877031
Ficus_SPP.;Ficus;MORACEAE;1;2;3;0;2;3;0;1;1;0;0;2;3;960.5588235;23.2877166;343.2170973;96.35294118
Flacourtia_SPP.;Flacourtia;SALICACEAE;1;2;3;0;2;3;0;1;0;1;0;2;3;902.6428571;24.06273261;88.20324503;14.57142857
Forchhammeria_longifolia;Forchhammeria;CAPPARACEAE;1;2;3;0;2;1;1;0;2;0;5;2;4;2611.909091;26.10803912;49.76604948;244.2727273
Forestiera_phillyreoides;Forestiera;OLEACEAE;1;2;3;0;2;1;2;1;2;0;5;3;2;2337.55;26.56395359;39.92043819;276.875
Fouquieria_formosa;Fouquieria;FOUQUIERIACEAE;0;2;1;0;2;0;1;1;1;1;4;1;3;874.5138889;20.83558432;173.52646;24.40277778
Fouquieria_splendens;Fouquieria;FOUQUIERIACEAE;1;1;1;0;2;2;1;1;1;1;5;2;4;2274.515152;25.97065747;60.09074115;228.1818182
Fraxinus_caroliniana;Fraxinus;OLEACEAE;1;2;1;0;2;1;0;1;1;0;1;0;4;1330.386207;21.80919475;202.840326;124.0275862
Fraxinus_uhdei;Fraxinus;OLEACEAE;0;0;3;0;2;2;0;1;1;1;4;1;0;1706.895639;24.13297089;208.9147569;123.5046729
Freziera_canescens;Freziera;PENTAPHYLACACEAE;0;1;3;0;2;3;0;1;1;1;4;1;0;2629.425287;24.62890331;72.00462297;185.7097701
Fridericia_candicans;Fridericia;BIGNONIACEAE;1;2;3;1;0;1;1;1;1;1;5;2;4;2667.636364;26.09583667;44.61947634;458.4545455
Fridericia_platyphylla;Fridericia;BIGNONIACEAE;0;1;0;0;2;3;0;0;1;1;4;3;1;2369.310598;25.64656049;65.67834291;286.5183631
Fridericia_speciosa;Fridericia;BIGNONIACEAE;1;2;3;0;2;1;0;1;1;1;5;0;5;2421.78125;25.6421627;55.43685872;311.78125
Fusaea_longifolia;Fusaea;ANNONACEAE;1;2;3;0;2;2;0;0;1;1;5;1;5;1664.717934;20.99742953;269.8610763;170.9877031
Gallesia_integrifolia;Gallesia;PHYTOLACCACEAE;1;2;3;0;2;2;0;1;2;0;3;2;2;960.5588235;23.2877166;343.2170973;96.35294118
Garcia_SP.;Garcia;EUPHORBIACEAE;0;2;3;0;2;1;0;1;1;1;1;2;5;902.6428571;24.06273261;88.20324503;14.57142857
Garcinia_aristata;Garcinia;CLUSIACEAE;1;2;3;0;2;2;1;1;1;0;1;1;4;2611.909091;26.10803912;49.76604948;244.2727273
Garcinia_benthamii;Garcinia;CLUSIACEAE;1;2;3;0;2;1;0;1;2;1;5;1;3;2337.55;26.56395359;39.92043819;276.875
Garcinia_intermedia;Garcinia;CLUSIACEAE;1;2;1;0;2;2;0;1;2;1;5;2;2;874.5138889;20.83558432;173.52646;24.40277778
Garcinia_madruno;Garcinia;CLUSIACEAE;1;2;3;0;2;2;0;1;2;1;5;2;2;2274.515152;25.97065747;60.09074115;228.1818182
Garrya_ovata;Garrya;GARRYACEAE;1;2;3;0;2;1;0;1;2;1;5;1;4;1330.386207;21.80919475;202.840326;124.0275862
Garrya_SPP.;Garrya;GARRYACEAE;0;2;3;1;1;1;1;1;2;1;5;2;3;1706.895639;24.13297089;208.9147569;123.5046729
Gaultheria_buxifolia;Gaultheria;ERICACEAE;1;2;3;1;1;1;2;1;1;0;5;2;4;2629.425287;24.62890331;72.00462297;185.7097701
Geissospermum_sericeum;Geissospermum;APOCYNACEAE;1;2;3;0;2;2;1;1;2;0;1;1;4;2667.636364;26.09583667;44.61947634;458.4545455
Genipa_americana;Genipa;RUBIACEAE;1;2;3;0;2;1;1;1;2;1;5;1;3;2369.310598;25.64656049;65.67834291;286.5183631
Gesneria_SP.;Gesneria;GESNERIACEAE;1;2;3;0;2;1;1;1;2;1;5;2;3;2421.78125;25.6421627;55.43685872;311.78125
Glandonia_macrocarpa;Glandonia;MALPIGHIACEAE;1;2;3;0;2;0;2;0;2;1;5;2;;1664.717934;20.99742953;269.8610763;170.9877031
Gloeospermum_SP.;Gloeospermum;VIOLACEAE;1;2;3;0;2;1;1;1;2;1;5;1;5;960.5588235;23.2877166;343.2170973;96.35294118
Gochnatia_barrrosoae;Gochnatia;ASTERACEAE;1;2;3;0;2;2;2;1;1;1;1;1;3;902.6428571;24.06273261;88.20324503;14.57142857
Gochnatia_polymorpha;Gochnatia;ASTERACEAE;0;1;1;0;2;1;0;1;2;1;4;1;2;2611.909091;26.10803912;49.76604948;244.2727273
Gochnatia_purpusii;Gochnatia;ASTERACEAE;0;2;1;0;2;1;0;1;2;1;5;1;2;2337.55;26.56395359;39.92043819;276.875
Godmania_aesculifolia;Godmania;BIGNONIACEAE;1;2;2;0;2;1;0;1;2;1;5;1;3;874.5138889;20.83558432;173.52646;24.40277778
Gonzalagunia_cornifolia;Gonzalagunia;RUBIACEAE;1;2;3;0;2;1;2;1;0;0;1;0;0;2274.515152;25.97065747;60.09074115;228.1818182
Gordonia_fruticosa;Gordonia;THEACEAE;1;2;3;0;2;1;1;1;0;0;5;1;4;1330.386207;21.80919475;202.840326;124.0275862
Graffenrieda_spp.;Graffenrieda;MELASTOMATACEAE;1;2;3;1;2;2;2;1;1;1;5;1;4;1706.895639;24.13297089;208.9147569;123.5046729
Grias_cauliflora;Grias;LECYTHIDACEAE;0;2;3;0;2;1;2;1;1;1;1;1;5;2629.425287;24.62890331;72.00462297;185.7097701
Grias_neuberthii;Grias;LECYTHIDACEAE;1;2;3;0;1;1;0;1;1;0;5;3;0;2667.636364;26.09583667;44.61947634;458.4545455
Guaiacum_officinale;Guaiacum;ZYGOPHYLLACEAE;1;2;3;0;2;2;0;1;2;0;1;3;3;2369.310598;25.64656049;65.67834291;286.5183631
Guapira_cuspidata;Guapira;NYCTAGINACEAE;1;2;3;0;2;1;0;1;2;1;1;0;0;2421.78125;25.6421627;55.43685872;311.78125
Guapira_discolor;Guapira;NYCTAGINACEAE;1;2;1;0;2;2;2;1;1;1;4;0;0;1664.717934;20.99742953;269.8610763;170.9877031
Guapira_noxia;Guapira;NYCTAGINACEAE;1;2;1;0;2;1;2;1;2;1;5;0;0;960.5588235;23.2877166;343.2170973;96.35294118
Guarea_chichon;Guarea;MELIACEAE;1;2;3;0;2;1;2;1;2;1;5;0;5;902.6428571;24.06273261;88.20324503;14.57142857
Guarea_excelsa;Guarea;MELIACEAE;1;2;3;0;2;3;0;0;1;1;0;1;0;2611.909091;26.10803912;49.76604948;244.2727273
Guarea_glabra;Guarea;MELIACEAE;0;2;3;0;2;2;0;0;1;1;0;1;2;2337.55;26.56395359;39.92043819;276.875
Guarea_gomma;Guarea;MELIACEAE;1;2;3;0;2;2;0;1;1;1;1;1;0;874.5138889;20.83558432;173.52646;24.40277778
Guarea_guidonia;Guarea;MELIACEAE;1;2;3;0;2;2;0;1;2;1;1;1;2;2274.515152;25.97065747;60.09074115;228.1818182
Guarea_kunthiana;Guarea;MELIACEAE;1;2;3;0;2;2;0;1;1;1;0;0;0;1330.386207;21.80919475;202.840326;124.0275862
Guarea_megantha;Guarea;MELIACEAE;1;2;3;0;2;2;0;0;1;1;1;0;0;1706.895639;24.13297089;208.9147569;123.5046729
Guatteria_australe;Guatteria;ANNONACEAE;0;2;3;0;2;3;0;1;1;1;4;1;2;2629.425287;24.62890331;72.00462297;185.7097701
Guatteria_schomburgkiana;Guatteria;ANNONACEAE;1;2;3;0;2;3;0;1;1;1;3;2;3;2667.636364;26.09583667;44.61947634;458.4545455
Guatteria_slateri;Guatteria;ANNONACEAE;1;2;3;0;2;2;2;1;1;1;1;2;2;2369.310598;25.64656049;65.67834291;286.5183631
Guettarda_elliptica;Guettarda;RUBIACEAE;0;2;3;0;2;0;0;0;1;1;5;1;2;2421.78125;25.6421627;55.43685872;311.78125
Guettarda_ovalifolia;Guettarda;RUBIACEAE;1;2;3;0;2;1;2;0;1;0;5;1;2;1664.717934;20.99742953;269.8610763;170.9877031
Guettarda_seleriana;Guettarda;RUBIACEAE;1;2;3;0;2;1;0;0;1;0;5;1;4;960.5588235;23.2877166;343.2170973;96.35294118
Guettarda_SPP.;Guettarda;RUBIACEAE;0;2;3;0;2;1;0;1;1;0;5;1;4;902.6428571;24.06273261;88.20324503;14.57142857
Guettarda_viburnoides;Guettarda;RUBIACEAE;1;2;3;0;2;1;0;0;1;0;5;1;4;2611.909091;26.10803912;49.76604948;244.2727273
Gustavia_augusta;Gustavia;LECYTHIDACEAE;0;2;1;0;2;1;0;0;1;1;5;1;5;2337.55;26.56395359;39.92043819;276.875
