sp;gen;fam;Growth_Rings;Vessel_porosity;Vessel_arangement;Perforation_plates; Intervessel_pits_arregement;Mean_tangential_diameter_of_vessel_lumina;Ground_tissue_fibres;Septa_in_fibers;Fibre_wall_thickness;Parenchyma_Paratracheal;Type_of_parenchyma_banding;Ray_width;Rays_cellular_composition
Drypetes_variabilis;Drypetes;PUTRANJAVACEAE;1;2;3;1;1;1;0;1;1;0;5;1;2
Duckeodendron_cestroides;Duckeodendron;SOLANACEAE;1;2;3;0;2;2;0;1;2;0;5;1;4
Duguetia_lanceolata;Duguetia;ANNONACEAE;1;2;3;1;2;2;1;1;2;1;5;1;3
Duguetia_quitarensis;Duguetia;ANNONACEAE;1;2;3;0;2;1;0;1;1;1;1;2;0
Duguetia_uniflora;Duguetia;ANNONACEAE;0;2;3;0;2;1;0;1;1;1;4;2;0
Dulacia_candida;Dulacia;OLACACEAE;1;2;3;0;2;2;0;1;0;0;1;2;0
Dulacia_guianensis;Dulacia;OLACACEAE;1;2;3;0;2;0;2;1;1;1;5;2;2
Duranta_SP.;Duranta;VERBENACEAE;1;2;3;0;2;2;1;1;1;1;5;1;2
Duroia_aquatica;Duroia;RUBIACEAE;1;2;3;0;2;1;0;1;1;0;5;1;4
Duroia_fusifera;Duroia;RUBIACEAE;1;2;3;0;2;2;1;1;2;0;1;1;4
Duroia_hirsuta;Duroia;RUBIACEAE;1;2;3;0;2;1;1;1;1;0;5;2;4
Duroia_SPP.;Duroia;RUBIACEAE;1;2;3;0;2;0;1;1;2;0;5;1;4
Ecclinusa_guianensis;Ecclinusa;SAPOTACEAE;1;2;3;0;2;2;1;1;2;1;1;1;4
Ecclinusa_lanceolata;Ecclinusa;SAPOTACEAE;1;2;1;0;2;1;0;1;1;0;1;1;4
Ecclinusa_SPP.;Ecclinusa;SAPOTACEAE;1;2;1;0;2;2;0;1;1;0;1;1;4
Ehretia_latifolia;Ehretia;BORAGINACEAE;1;2;1;0;2;1;0;1;1;0;2;1;4
Ekmanianthe_actinophylla;Ekmanianthe;BIGNONIACEAE;1;2;3;0;2;2;0;1;1;1;1;2;2
Elaeagia_SP.;Elaeagia;RUBIACEAE;0;2;3;0;2;2;0;1;1;1;4;1;0
Elaeodendron_xylocarpum;Elaeodendron;CELASTRACEAE;1;2;3;0;2;1;0;0;1;0;5;2;4
Elaeoluma_glabrescens;Elaeoluma;SAPOTACEAE;1;2;3;1;2;0;1;0;1;0;5;1;3
Emmotum_fagifolium;Emmotum;ICACINACEAE;1;2;3;0;2;0;1;1;2;0;5;1;4
Endlicheria_lhotzkyi;Endlicheria;LAURACEAE;1;2;3;1;1;2;1;1;2;1;5;3;3
Endlicheria_multiflora;Endlicheria;LAURACEAE;1;2;3;0;2;2;0;1;1;1;5;1;3
Eremanthus_goyazensis;Eremanthus;ASTERACEAE;1;2;3;1;2;2;1;1;2;1;5;1;4
Erisma_SPP.;Erisma;VOCHYSIACEAE;0;2;3;0;2;0;0;1;2;1;4;1;4
Erithalis_SP.;Erithalis;RUBIACEAE;1;2;3;0;2;3;0;1;1;0;0;2;3
Erythrochiton_SP.;Erythrochiton;RUTACEAE;1;2;3;0;2;1;1;1;2;0;5;1;4
Erythroxylum_amazonicum;Erythroxylum;ERYTHROXYLACEAE;1;2;3;0;2;0;0;0;2;1;4;1;3
Erythroxylum_areolatum;Erythroxylum;ERYTHROXYLACEAE;1;2;3;0;2;2;0;1;2;1;5;1;3
Erythroxylum_citrifolium;Erythroxylum;ERYTHROXYLACEAE;1;2;3;0;2;1;0;1;2;1;5;1;4
Erythroxylum_deciduum;Erythroxylum;ERYTHROXYLACEAE;1;2;3;0;2;1;0;1;2;1;5;1;4
Erythroxylum_passerinum;Erythroxylum;ERYTHROXYLACEAE;0;2;3;0;2;0;0;1;1;0;1;1;4
Erythroxylum_pelleterianum;Erythroxylum;ERYTHROXYLACEAE;1;2;3;0;2;1;1;1;2;0;1;1;3
Erythroxylum_suberosum;Erythroxylum;ERYTHROXYLACEAE;0;2;1;0;2;1;1;1;2;1;5;1;2
Erythroxylum_substriatum;Erythroxylum;ERYTHROXYLACEAE;1;2;3;0;2;0;1;1;1;1;1;1;2
Escallonia_myrtilloides;Escallonia;ESCALLONIACEAE;0;0;3;0;1;1;2;1;1;0;5;2;4
Escallonia_tortuosa;Escallonia;ESCALLONIACEAE;1;2;3;1;0;0;1;1;1;0;5;1;4
Eschweilera_alata;Eschweilera;LECYTHIDACEAE;1;2;3;1;1;0;1;1;2;0;5;1;4
Eschweilera_coriacea;Eschweilera;LECYTHIDACEAE;1;2;3;0;2;2;0;1;2;1;1;1;2
Eschweilera_pedicellata;Eschweilera;LECYTHIDACEAE;1;2;3;0;2;3;0;1;2;0;1;1;0
Eschweilera_tenax;Eschweilera;LECYTHIDACEAE;1;2;3;0;2;3;0;1;2;1;1;1;2
Esenbeckia_alata;Esenbeckia;RUTACEAE;1;2;3;0;2;2;0;1;2;0;2;1;0
Esenbeckia_berlandieri;Esenbeckia;RUTACEAE;0;2;3;0;2;1;0;1;2;1;4;1;3
Esenbeckia_pilocarpoides;Esenbeckia;RUTACEAE;1;2;3;0;2;0;0;1;1;0;4;1;4
Espadaea_SP.;Espadaea;GOETZEACEAE;1;2;3;0;2;0;0;1;2;1;5;1;2
Eugenia_acapulcensis;Eugenia;MYRTACEAE;1;2;1;0;2;0;2;1;1;0;5;1;3
Eugenia_axillaris;Eugenia;MYRTACEAE;1;2;3;0;2;2;1;1;2;0;1;1;3
Eugenia_biflora;Eugenia;MYRTACEAE;1;2;3;0;2;1;1;1;1;0;1;1;4
Eugenia_capuli;Eugenia;MYRTACEAE;0;2;1;0;2;1;2;1;2;0;1;1;4
Eugenia_cerasiflora;Eugenia;MYRTACEAE;1;2;3;0;2;0;0;1;2;0;5;1;2
Eugenia_cuprea;Eugenia;MYRTACEAE;0;2;1;0;2;1;0;1;1;0;5;1;4
Eugenia_padronii;Eugenia;MYRTACEAE;0;2;3;0;2;1;0;1;2;0;1;1;2
Eugenia_patrisii;Eugenia;MYRTACEAE;1;2;3;0;2;1;2;1;2;0;1;1;2
Eugenia_rigida;Eugenia;MYRTACEAE;1;2;1;0;2;1;1;1;2;0;2;1;4
Eugenia_SPP.;Eugenia;MYRTACEAE;0;2;3;0;2;0;1;1;2;0;1;1;2
Euphorbia_schlechtendalii;Euphorbia;EUPHORBIACEAE;1;2;3;0;2;1;0;1;2;1;1;2;4
Euphronia_spp.;Euphronia;EUPHRONIACEAE;1;2;3;0;2;2;0;1;1;0;2;2;2
Euplassa_cantareirae;Euplassa;PROTEACEAE;1;2;3;0;2;2;1;1;2;1;5;1;3
Euplassa_pinnata;Euplassa;PROTEACEAE;1;2;0;0;2;2;0;1;1;0;0;3;0
Eurya_mexicana;Eurya;PENTAPHYLACACEAE;1;2;3;0;2;3;1;1;1;0;1;3;2
Exellodendron_coriaceum;Exellodendron;CHRYSOBALANACEAE;1;2;3;0;2;2;0;1;2;1;5;2;2
Exostema_caribaeum;Exostema;RUBIACEAE;1;2;3;0;2;2;1;1;2;0;1;0;3
Exostema_mexicanum;Exostema;RUBIACEAE;1;2;3;0;2;1;1;1;1;1;5;1;4
Exothea_diphylla;Exothea;SAPINDACEAE;1;2;3;0;2;0;1;1;2;0;5;1;3
Faramea_occidentalis;Faramea;RUBIACEAE;1;2;3;0;2;1;0;1;1;1;5;1;2
Faramea_salicifolia;Faramea;RUBIACEAE;1;2;3;0;2;1;0;1;1;1;5;2;3
Ferdinandusa_SP.;Ferdinandusa;RUBIACEAE;1;2;3;0;2;1;1;0;1;0;5;1;4
Ficus_aurea;Ficus;MORACEAE;1;2;3;0;2;2;1;0;2;1;5;2;3
Ficus_caballina;Ficus;MORACEAE;1;2;3;0;2;2;0;1;1;1;0;2;2
Ficus_citrifolia;Ficus;MORACEAE;1;2;3;0;2;2;0;1;1;0;0;2;2
Ficus_guaranitica;Ficus;MORACEAE;1;2;3;0;2;2;0;1;1;0;0;2;2
Ficus_insipida;Ficus;MORACEAE;1;2;3;0;2;2;0;1;0;0;0;1;2
Ficus_SPP.;Ficus;MORACEAE;1;2;3;0;2;3;0;1;1;0;0;2;3
Flacourtia_SPP.;Flacourtia;SALICACEAE;1;2;3;0;2;3;0;1;0;1;0;2;3
Forchhammeria_longifolia;Forchhammeria;CAPPARACEAE;1;2;3;0;2;1;1;0;2;0;5;2;4
Forestiera_phillyreoides;Forestiera;OLEACEAE;1;2;3;0;2;1;2;1;2;0;5;3;2
Fouquieria_formosa;Fouquieria;FOUQUIERIACEAE;0;2;1;0;2;0;1;1;1;1;4;1;3
Fouquieria_splendens;Fouquieria;FOUQUIERIACEAE;1;1;1;0;2;2;1;1;1;1;5;2;4
Fraxinus_caroliniana;Fraxinus;OLEACEAE;1;2;1;0;2;1;0;1;1;0;1;0;4
Fraxinus_uhdei;Fraxinus;OLEACEAE;0;0;3;0;2;2;0;1;1;1;4;1;0
Freziera_canescens;Freziera;PENTAPHYLACACEAE;0;1;3;0;2;3;0;1;1;1;4;1;0
Fridericia_candicans;Fridericia;BIGNONIACEAE;1;2;3;1;0;1;1;1;1;1;5;2;4
Fridericia_platyphylla;Fridericia;BIGNONIACEAE;0;1;0;0;2;3;0;0;1;1;4;3;1
Fridericia_speciosa;Fridericia;BIGNONIACEAE;1;2;3;0;2;1;0;1;1;1;5;0;5
Fusaea_longifolia;Fusaea;ANNONACEAE;1;2;3;0;2;2;0;0;1;1;5;1;5
Gallesia_integrifolia;Gallesia;PHYTOLACCACEAE;1;2;3;0;2;2;0;1;2;0;3;2;2
Garcia_SP.;Garcia;EUPHORBIACEAE;0;2;3;0;2;1;0;1;1;1;1;2;5
Garcinia_aristata;Garcinia;CLUSIACEAE;1;2;3;0;2;2;1;1;1;0;1;1;4
Garcinia_benthamii;Garcinia;CLUSIACEAE;1;2;3;0;2;1;0;1;2;1;5;1;3
Garcinia_intermedia;Garcinia;CLUSIACEAE;1;2;1;0;2;2;0;1;2;1;5;2;2
Garcinia_madruno;Garcinia;CLUSIACEAE;1;2;3;0;2;2;0;1;2;1;5;2;2
Garrya_ovata;Garrya;GARRYACEAE;1;2;3;0;2;1;0;1;2;1;5;1;4
Garrya_SPP.;Garrya;GARRYACEAE;0;2;3;1;1;1;1;1;2;1;5;2;3
Gaultheria_buxifolia;Gaultheria;ERICACEAE;1;2;3;1;1;1;2;1;1;0;5;2;4
Geissospermum_sericeum;Geissospermum;APOCYNACEAE;1;2;3;0;2;2;1;1;2;0;1;1;4
Genipa_americana;Genipa;RUBIACEAE;1;2;3;0;2;1;1;1;2;1;5;1;3
Gesneria_SP.;Gesneria;GESNERIACEAE;1;2;3;0;2;1;1;1;2;1;5;2;3
Glandonia_macrocarpa;Glandonia;MALPIGHIACEAE;1;2;3;0;2;0;2;0;2;1;5;2;
Gloeospermum_SP.;Gloeospermum;VIOLACEAE;1;2;3;0;2;1;1;1;2;1;5;1;5
Gochnatia_barrrosoae;Gochnatia;ASTERACEAE;1;2;3;0;2;2;2;1;1;1;1;1;3
Gochnatia_polymorpha;Gochnatia;ASTERACEAE;0;1;1;0;2;1;0;1;2;1;4;1;2
Gochnatia_purpusii;Gochnatia;ASTERACEAE;0;2;1;0;2;1;0;1;2;1;5;1;2
Godmania_aesculifolia;Godmania;BIGNONIACEAE;1;2;2;0;2;1;0;1;2;1;5;1;3
Gonzalagunia_cornifolia;Gonzalagunia;RUBIACEAE;1;2;3;0;2;1;2;1;0;0;1;0;0
Gordonia_fruticosa;Gordonia;THEACEAE;1;2;3;0;2;1;1;1;0;0;5;1;4
Graffenrieda_spp.;Graffenrieda;MELASTOMATACEAE;1;2;3;1;2;2;2;1;1;1;5;1;4
Grias_cauliflora;Grias;LECYTHIDACEAE;0;2;3;0;2;1;2;1;1;1;1;1;5
Grias_neuberthii;Grias;LECYTHIDACEAE;1;2;3;0;1;1;0;1;1;0;5;3;0
Guaiacum_officinale;Guaiacum;ZYGOPHYLLACEAE;1;2;3;0;2;2;0;1;2;0;1;3;3
Guapira_cuspidata;Guapira;NYCTAGINACEAE;1;2;3;0;2;1;0;1;2;1;1;0;0
Guapira_discolor;Guapira;NYCTAGINACEAE;1;2;1;0;2;2;2;1;1;1;4;0;0
Guapira_noxia;Guapira;NYCTAGINACEAE;1;2;1;0;2;1;2;1;2;1;5;0;0
Guarea_chichon;Guarea;MELIACEAE;1;2;3;0;2;1;2;1;2;1;5;0;5
Guarea_excelsa;Guarea;MELIACEAE;1;2;3;0;2;3;0;0;1;1;0;1;0
Guarea_glabra;Guarea;MELIACEAE;0;2;3;0;2;2;0;0;1;1;0;1;2
Guarea_gomma;Guarea;MELIACEAE;1;2;3;0;2;2;0;1;1;1;1;1;0
Guarea_guidonia;Guarea;MELIACEAE;1;2;3;0;2;2;0;1;2;1;1;1;2
Guarea_kunthiana;Guarea;MELIACEAE;1;2;3;0;2;2;0;1;1;1;0;0;0
Guarea_megantha;Guarea;MELIACEAE;1;2;3;0;2;2;0;0;1;1;1;0;0
Guatteria_australe;Guatteria;ANNONACEAE;0;2;3;0;2;3;0;1;1;1;4;1;2
Guatteria_schomburgkiana;Guatteria;ANNONACEAE;1;2;3;0;2;3;0;1;1;1;3;2;3
Guatteria_slateri;Guatteria;ANNONACEAE;1;2;3;0;2;2;2;1;1;1;1;2;2
Guettarda_elliptica;Guettarda;RUBIACEAE;0;2;3;0;2;0;0;0;1;1;5;1;2
Guettarda_ovalifolia;Guettarda;RUBIACEAE;1;2;3;0;2;1;2;0;1;0;5;1;2
Guettarda_seleriana;Guettarda;RUBIACEAE;1;2;3;0;2;1;0;0;1;0;5;1;4
Guettarda_SPP.;Guettarda;RUBIACEAE;0;2;3;0;2;1;0;1;1;0;5;1;4
Guettarda_viburnoides;Guettarda;RUBIACEAE;1;2;3;0;2;1;0;0;1;0;5;1;4
Gustavia_augusta;Gustavia;LECYTHIDACEAE;0;2;1;0;2;1;0;0;1;1;5;1;5
Gustavia_gigantophylla;Gustavia;LECYTHIDACEAE;1;2;3;0;2;1;0;1;1;1;1;2;3
Gustavia_hexapetala;Gustavia;LECYTHIDACEAE;0;2;3;0;2;1;0;1;1;0;1;2;2
Gustavia_nana;Gustavia;LECYTHIDACEAE;1;2;3;0;2;1;0;1;2;0;5;1;3
Gymnanthes_lucida;Gymnanthes;EUPHORBIACEAE;0;2;3;0;2;1;0;1;2;0;1;3;3
Haenianthus_salicifolius;Haenianthus;OLEACEAE;1;2;3;0;2;0;0;1;2;0;1;0;4
Hamelia_longipes;Hamelia;RUBIACEAE;1;2;3;0;2;2;0;1;1;1;5;1;0
Hancornia_speciosa;Hancornia;APOCYNACEAE;1;2;3;0;2;1;0;0;1;1;5;2;4
Handroanthus_capitatus;Handroanthus;BIGNONIACEAE;1;2;3;0;2;1;0;1;2;1;4;1;0
Handroanthus_chrysanthus;Handroanthus;BIGNONIACEAE;1;2;3;0;2;2;0;1;2;1;4;1;0
Handroanthus_chrysotrichus;Handroanthus;BIGNONIACEAE;1;2;3;0;2;1;0;1;2;1;4;1;0
Handroanthus_heptaphyllus;Handroanthus;BIGNONIACEAE;0;2;3;0;2;2;0;1;2;1;5;1;0
Handroanthus_impetiginosus;Handroanthus;BIGNONIACEAE;1;2;3;0;2;1;0;1;2;1;4;1;0
Handroanthus_ochraceus;Handroanthus;BIGNONIACEAE;0;2;3;0;2;1;0;1;1;1;4;1;0
Handroanthus_serratifolius;Handroanthus;BIGNONIACEAE;1;2;3;0;2;1;0;1;2;1;4;2;2
Haploclathra_paniculata;Haploclathra;CALOPHYLLACEAE;1;2;3;2;2;2;0;1;2;1;4;1;0
Haploclathra_SPP.;Haploclathra;CALOPHYLLACEAE;1;2;1;0;2;1;1;1;2;1;5;0;2
Haplorhus_peruviana;Haplorhus;ANACARDIACEAE;1;2;1;0;2;2;0;1;2;1;5;0;5
Hasseltia_floribunda;Hasseltia;SALICACEAE;1;2;1;0;2;1;0;1;2;1;5;2;0
Hasseltia_spp.;Hasseltia;SALICACEAE;1;2;3;0;2;1;0;0;1;0;5;1;4
Hebepetalum_humiriifolium;Hebepetalum;LINACEAE;1;2;3;0;1;1;0;0;1;1;5;1;4
Hedyosmum_goudotianum;Hedyosmum;CHLORANTHACEAE;1;2;3;0;2;1;1;0;1;0;5;2;4
Heisteria_insculpta;Heisteria;OLACACEAE;1;2;3;1;0;1;0;0;0;0;5;3;1
Heisteria_macrophylla;Heisteria;OLACACEAE;1;2;3;1;1;1;2;1;2;0;5;1;4
Heisteria_SPP.;Heisteria;OLACACEAE;1;2;3;1;1;1;1;1;2;0;5;1;4
Helicostylis_pedunculata;Helicostylis;MORACEAE;1;2;3;0;2;1;0;1;1;1;5;1;2
Helicostylis_scabra;Helicostylis;MORACEAE;1;2;3;0;2;2;0;1;2;1;5;1;2
Helicostylis_SPP.;Helicostylis;MORACEAE;1;2;3;0;2;2;0;1;2;1;5;1;2
Helicostylis_tomentosa;Helicostylis;MORACEAE;1;2;1;0;2;2;0;1;1;1;4;2;2
Helicostylis_turbinata;Helicostylis;MORACEAE;1;2;3;0;2;2;0;1;2;1;0;2;3
Helietta_lucida;Helietta;RUTACEAE;0;1;3;0;2;3;0;1;1;0;1;2;2
Henriettea_multiflora;Henriettea;MELASTOMATACEAE;0;2;3;0;2;1;0;1;2;1;4;1;2
Henriettea_SPP.;Henriettea;MELASTOMATACEAE;1;2;3;0;2;2;0;0;1;1;5;0;1
Henriettella_caudata;Henriettella;MELASTOMATACEAE;1;2;3;0;2;1;0;1;1;1;5;0;5
Henriettella_SPP.;Henriettella;MELASTOMATACEAE;1;2;3;0;2;1;0;0;1;0;1;0;1
Henriquezia_macrophylla;Henriquezia;RUBIACEAE;1;2;3;0;2;1;0;0;1;0;5;1;1
Hernandia_guianensis;Hernandia;HERNANDIACEAE;1;2;3;0;2;2;2;1;2;1;5;0;4
Hernandia_sonora;Hernandia;HERNANDIACEAE;1;2;3;0;2;2;0;1;0;1;5;1;0
Heteropetalum_brasiliense;Heteropetalum;ANNONACEAE;1;2;3;0;2;1;2;1;1;1;5;1;0
Heteropterys_nitida;Heteropterys;MALPIGHIACEAE;1;2;3;0;2;1;2;1;0;1;3;1;0
Heteropterys_serrata;Heteropterys;MALPIGHIACEAE;0;2;3;0;2;2;0;0;1;1;4;1;5
Heteropterys_SP.;Heteropterys;MALPIGHIACEAE;0;2;3;0;2;2;0;0;1;1;4;2;5
Heterosavia_bahamensis;Heterosavia;PHYLLANTHACEAE;1;2;3;0;2;2;0;0;2;1;5;1;4
Hevea_brasiliensis;Hevea;EUPHORBIACEAE;1;2;3;0;2;1;0;1;1;1;5;0;1
Hevea_guianensis;Hevea;EUPHORBIACEAE;1;2;3;0;2;2;0;1;0;0;1;1;3
Hevea_SPP.;Hevea;EUPHORBIACEAE;1;2;3;0;2;3;0;1;0;0;2;1;4
Hieronyma_alchorneoides;Hieronyma;PHYLLANTHACEAE;1;2;3;0;2;2;0;1;1;0;1;1;3
Hieronyma_oblonga;Hieronyma;PHYLLANTHACEAE;1;2;3;0;2;3;1;1;1;0;5;2;4
Hillia_illustris;Hillia;RUBIACEAE;1;2;3;1;2;1;2;1;1;0;5;2;4
Himatanthus_articulatus;Himatanthus;APOCYNACEAE;1;2;3;0;2;3;0;1;1;0;0;2;2
Himatanthus_obovatus;Himatanthus;APOCYNACEAE;1;2;3;0;2;2;1;1;2;1;5;0;1
Himatanthus_sucuuba;Himatanthus;APOCYNACEAE;1;2;3;0;2;2;1;1;1;0;5;1;5
Hippocratea_volubilis;Hippocratea;CELASTRACEAE;1;2;3;0;2;2;1;1;2;0;5;0;1
Hippomane_mancinella;Hippomane;EUPHORBIACEAE;1;2;3;0;2;3;1;0;1;1;5;2;2
Hippotis_SP.;Hippotis;RUBIACEAE;1;2;3;0;2;2;0;1;1;0;1;0;5
Hirtella_americana;Hirtella;CHRYSOBALANACEAE;1;2;3;0;2;1;0;0;1;0;5;2;4
Hirtella_SPP.;Hirtella;CHRYSOBALANACEAE;1;2;3;0;2;2;1;1;2;0;2;0;5
Homalium_racemosa;Homalium;SALICACEAE;1;2;3;0;2;2;1;1;2;0;1;0;5
Homalium_SPP.;Homalium;SALICACEAE;1;2;3;0;2;1;0;0;1;0;5;2;4
Hortia_longifolia;Hortia;RUTACEAE;1;2;3;0;2;2;1;0;2;1;5;2;4
Hortia_SP.;Hortia;RUTACEAE;1;2;3;0;2;1;0;1;2;1;5;1;3
Huberia_consimilis;Huberia;MELASTOMATACEAE;1;2;3;0;2;2;0;1;2;1;5;2;0
Huberia_glazioviana;Huberia;MELASTOMATACEAE;1;2;3;0;2;2;2;0;0;0;5;1;1
Huberia_semiserrata;Huberia;MELASTOMATACEAE;0;2;3;0;2;1;0;0;1;0;5;0;1
Huertea_glandulosa;Huertea;TAPISCIACEAE;1;2;3;0;2;2;0;1;0;1;5;0;1
Huertea_SPP.;Huertea;TAPISCIACEAE;1;2;3;1;1;2;0;1;1;0;5;2;4
Humiria_balsamifera;Humiria;HUMIRIACEAE;1;2;3;0;2;2;0;1;2;1;5;0;1
Humiriastrum_excelsum;Humiriastrum;HUMIRIACEAE;1;2;3;1;2;2;1;1;2;1;5;1;4
Humiriastrum_procerum;Humiriastrum;HUMIRIACEAE;1;2;3;1;2;2;2;1;2;1;5;1;4
Hura_crepitans;Hura;EUPHORBIACEAE;1;2;1;1;1;2;1;1;2;1;5;1;4
Hybanthus_prunifolius;Hybanthus;VIOLACEAE;1;2;3;0;2;3;0;1;0;0;1;0;0
Hydrangea_SPP.;Hydrangea;HYDRANGEACEAE;1;2;1;0;2;0;0;0;1;0;5;1;1
Hyperbaena_domingensis;Hyperbaena;MENISPERMACEAE;1;2;3;0;2;1;0;1;2;1;4;1;2
Ilex_amplifolia;Ilex;AQUIFOLIACEAE;1;2;3;0;2;1;2;1;1;0;5;3;5
Ilex_caliana;Ilex;AQUIFOLIACEAE;1;2;3;1;1;1;1;1;1;0;5;3;4
Ilex_casiquiarensis;Ilex;AQUIFOLIACEAE;1;2;3;1;1;1;1;1;1;0;5;2;3
Ilex_daphnogenea;Ilex;AQUIFOLIACEAE;1;2;3;1;1;1;1;1;1;0;5;2;4
Ilex_dumosa;Ilex;AQUIFOLIACEAE;1;2;3;1;1;1;0;1;1;1;5;2;4
Ilex_guianensis;Ilex;AQUIFOLIACEAE;1;2;3;1;1;1;1;1;1;0;5;2;3
Ilex_jenmanii;Ilex;AQUIFOLIACEAE;1;2;3;1;0;1;1;1;1;0;5;2;3
Ilex_myricoides;Ilex;AQUIFOLIACEAE;1;2;3;1;2;1;1;1;1;0;5;2;2
Ilex_ovalifolia;Ilex;AQUIFOLIACEAE;1;2;3;1;1;1;1;1;1;0;5;2;4
Ilex_parviflora;Ilex;AQUIFOLIACEAE;1;2;1;1;2;1;1;1;1;0;5;3;4
Ilex_repanda;Ilex;AQUIFOLIACEAE;1;2;3;1;0;1;1;1;1;0;5;2;2
Ilex_sideroxyloides;Ilex;AQUIFOLIACEAE;0;2;3;1;2;1;1;1;1;0;5;2;2
Ilex_theezans;Ilex;AQUIFOLIACEAE;1;2;3;1;1;1;1;1;1;0;5;3;2
Ilex_tolucana;Ilex;AQUIFOLIACEAE;0;2;3;1;1;1;2;1;1;0;5;2;5
Illicium_SPP.;Illicium;ILLICIACEAE;1;2;1;1;1;0;1;1;1;0;5;2;4
Iochroma_arborescens;Iochroma;SOLANACEAE;0;2;3;1;1;1;0;1;1;1;5;1;3
Iochroma_gesnerioides;Iochroma;SOLANACEAE;1;2;3;0;2;1;0;1;2;1;5;2;0
Iresine_SP.;Iresine;AMARANTHACEAE;1;2;3;0;2;2;1;1;1;0;1;2;5
Iryanthera_grandis;Iryanthera;MYRISTICACEAE;1;2;3;0;2;2;0;1;1;1;0;2;2
Iryanthera_juruensis;Iryanthera;MYRISTICACEAE;1;2;3;1;1;2;0;1;1;1;1;1;3
Iryanthera_laevis;Iryanthera;MYRISTICACEAE;0;2;3;1;2;2;0;1;1;1;4;1;4
Iryanthera_sagotiana;Iryanthera;MYRISTICACEAE;1;2;3;2;2;2;0;1;1;1;4;1;4
Isertia_parviflora;Isertia;RUBIACEAE;1;2;3;0;2;1;1;1;1;1;5;1;4
Jacaranda_brasiliana;Jacaranda;BIGNONIACEAE;1;2;3;0;2;1;1;1;2;0;5;1;4
Jacaranda_caroba;Jacaranda;BIGNONIACEAE;1;2;3;0;2;1;0;1;1;1;1;0;0
Jacaranda_copaia;Jacaranda;BIGNONIACEAE;0;2;3;0;2;1;0;1;0;1;5;1;2
Jacaranda_mimosifolia;Jacaranda;BIGNONIACEAE;1;2;3;0;2;3;0;1;1;1;4;1;2
Jacaranda_obtusifolia;Jacaranda;BIGNONIACEAE;0;2;3;0;2;1;0;1;1;1;1;0;0
Jacaranda_sect.;Jacaranda;BIGNONIACEAE;1;2;3;0;2;2;0;1;1;1;4;1;0
Jacaranda_semiserrata;Jacaranda;BIGNONIACEAE;1;2;3;0;2;1;0;1;1;1;1;1;5
Jacquinia_armillaris;Jacquinia;PRIMULACEAE;1;2;0;0;2;1;0;1;1;1;4;1;2
Jacquinia_caracasana;Jacquinia;PRIMULACEAE;1;2;3;0;2;1;0;1;1;1;5;2;3
Jasminum_grandiflorum;Jasminum;OLEACEAE;1;2;3;0;2;0;0;1;1;1;5;3;2
Jatropha_curcas;Jatropha;EUPHORBIACEAE;1;2;3;0;2;1;2;1;1;1;5;1;3
Joannesia_heveoides;Joannesia;EUPHORBIACEAE;1;2;3;0;2;3;1;1;2;1;2;1;5
Jodina_rhombifolia;Jodina;SANTALACEAE;1;2;3;0;2;3;1;1;1;0;5;0;5
Juglans_neotropica;Juglans;JUGLANDACEAE;1;2;2;0;2;0;1;1;1;1;5;2;2
Juglans_SPP.;Juglans;JUGLANDACEAE;1;2;3;0;2;2;0;1;1;0;1;1;3
Kielmeyera_argentea;Kielmeyera;CALOPHYLLACEAE;1;2;3;0;2;1;0;1;1;1;4;2;3
Kielmeyera_excelsa;Kielmeyera;CALOPHYLLACEAE;0;2;3;0;2;2;0;1;1;0;1;0;4
Kielmeyera_SPP.;Kielmeyera;CALOPHYLLACEAE;1;2;3;0;2;1;2;1;1;1;0;1;1
Koeberlinia_spinosa;Koeberlinia;KOEBERLINIACEAE;1;2;3;2;2;2;1;1;1;1;1;0;5
Krameria_cytisoides;Krameria;KRAMERIACEAE;0;0;3;0;2;2;2;1;2;0;5;2;0
Krameria_spp.;Krameria;KRAMERIACEAE;1;1;3;0;2;1;1;1;2;1;5;0;5
Krugiodendron_ferreum;Krugiodendron;RHAMNACEAE;1;2;3;0;2;0;2;1;2;0;4;0;1
Lacistema_aggregatum;Lacistema;LACISTEMETACEAE;1;2;3;2;2;1;0;0;1;0;5;2;4
Lacistema_hasslerianum;Lacistema;LACISTEMETACEAE;1;2;1;1;2;0;0;1;1;0;5;1;4
Lacistema_pubescens;Lacistema;LACISTEMETACEAE;1;2;3;1;1;1;0;0;2;0;5;1;4
Lacmellea_lactescens;Lacmellea;APOCYNACEAE;1;2;3;2;1;1;0;0;1;0;5;1;4
Lacmellea_SPP.;Lacmellea;APOCYNACEAE;1;2;3;0;2;1;1;1;1;0;1;1;3
Lacunaria_macrostachya;Lacunaria;OCHNACEAE;1;2;3;0;2;1;0;1;1;0;1;1;4
Ladenbergia_lambertiana;Ladenbergia;RUBIACEAE;1;2;3;0;2;1;2;1;2;0;5;1;4
Ladenbergia_pavonii;Ladenbergia;RUBIACEAE;1;2;3;0;2;1;2;1;1;1;5;1;4
Laetia_corymbulosa;Laetia;SALICACEAE;1;2;3;0;2;2;1;1;1;0;5;2;4
Laetia_cupulata;Laetia;SALICACEAE;1;2;3;0;2;1;0;1;2;0;5;2;4
