sp;gen;fam;Growth_Rings;Vessel_porosity;Vessel_arangement;Perforation_plates; Intervessel_pits_arregement;Mean_tangential_diameter_of_vessel_lumina;Ground_tissue_fibres;Septa_in_fibers;Fibre_wall_thickness;Parenchyma_Paratracheal;Type_of_parenchyma_banding;Ray_width;Rays_cellular_composition
Chrysochlamys_weberbaueri;Chrysochlamys;CLUSIACEAE;1;2;3;0;0;1;0;1;1;1;5;1;2
Chrysophyllum_argenteum;Chrysophyllum;SAPOTACEAE;1;2;3;0;2;1;0;1;2;0;1;0;3
Chrysophyllum_cainito;Chrysophyllum;SAPOTACEAE;1;2;1;0;2;1;0;1;2;0;1;1;4
Chrysophyllum_gonocarpum;Chrysophyllum;SAPOTACEAE;0;2;3;0;2;1;0;1;2;0;1;1;4
Chrysophyllum_oliviforme;Chrysophyllum;SAPOTACEAE;1;2;1;0;2;1;0;1;1;0;1;1;3
Chrysophyllum_pomiferum;Chrysophyllum;SAPOTACEAE;1;2;3;0;2;1;0;1;1;0;0;1;0
Chrysophyllum_prieurii;Chrysophyllum;SAPOTACEAE;1;2;1;0;2;1;0;1;2;0;1;1;4
Chrysophyllum_sanguinolentum;Chrysophyllum;SAPOTACEAE;1;2;1;0;2;2;0;1;2;0;1;0;4
Chrysophyllum_SPP.;Chrysophyllum;SAPOTACEAE;1;2;1;0;2;2;0;1;1;0;2;1;3
Cinchona_calisaya;Cinchona;RUBIACEAE;1;2;1;0;2;2;0;1;2;0;1;2;2
Cinchona_pubescens;Cinchona;RUBIACEAE;1;2;3;0;2;0;1;1;2;0;5;2;4
Cinnamodendron_axillare;Cinnamodendron;CANELLACEAE;1;2;3;0;2;2;0;1;1;1;5;2;4
Cipocereus_spp.;Cipocereus;CACTACEAE;1;2;3;1;1;1;2;1;1;0;1;0;0
Cissus_SPP.;Cissus;VITACEAE;1;2;3;0;1;0;0;0;1;1;5;2;1
Citharexylum_spinosum;Citharexylum;VERBENACEAE;1;1;3;1;2;2;0;0;1;1;4;1;2
Citharexylum_tetramerum;Citharexylum;VERBENACEAE;0;2;3;0;2;2;0;0;1;1;5;2;3
Citronella_silvatica;Citronella;CARDIOPTERIDACEAE;0;2;1;0;2;1;0;1;1;1;5;1;3
Citrus_maxima;Citrus;RUTACEAE;1;2;3;1;1;2;1;1;1;1;5;2;5
Citrus_medica;Citrus;RUTACEAE;1;2;3;0;2;1;0;1;1;1;4;2;2
Clavija_lancifolia;Clavija;PRIMULACEAE;1;2;3;0;2;2;0;1;1;1;5;2;3
Clavija_spp.;Clavija;PRIMULACEAE;1;2;3;0;2;0;0;0;1;1;5;2;5
Clavija_umbrosa;Clavija;PRIMULACEAE;1;2;3;0;2;0;0;0;2;1;5;2;5
Clerodendrum_molle;Clerodendrum;LAMIACEAE;1;2;3;0;2;0;0;0;1;1;5;3;2
Clethra_mexicana;Clethra;CLETHRACEAE;1;2;3;0;2;1;0;1;1;1;5;1;5
Clethra_ovalifolia;Clethra;CLETHRACEAE;1;2;3;1;1;1;1;1;1;0;5;2;4
Clethra_pringlei;Clethra;CLETHRACEAE;1;2;3;1;2;1;1;1;1;0;5;2;4
Clethra_scabra;Clethra;CLETHRACEAE;0;2;3;2;1;0;1;1;1;1;5;2;3
Cleyera_integrifolia;Cleyera;PENTAPHYLACACEAE;1;2;3;1;1;1;0;1;1;0;5;2;4
Cleyera_SPP.;Cleyera;PENTAPHYLACACEAE;0;2;3;1;0;1;1;1;1;1;5;1;4
Clidemia_SPP.;Clidemia;MELASTOMATACEAE;0;2;3;1;2;0;2;1;1;1;5;1;4
Clusia_alata;Clusia;CLUSIACEAE;1;2;3;0;2;1;0;1;1;1;5;0;1
Clusia_SP.;Clusia;CLUSIACEAE;0;2;3;0;0;1;1;0;1;1;5;2;4
Clusia_SPP.;Clusia;CLUSIACEAE;1;2;3;0;0;2;0;0;2;1;5;2;3
Cnestidium_guianense;Cnestidium;CONNARACEAE;1;2;3;0;0;1;0;1;1;1;5;1;4
Coccoloba_acuminata;Coccoloba;POLYGONACEAE;0;2;1;0;2;2;1;1;1;0;5;0;5
Coccoloba_barbadensis;Coccoloba;POLYGONACEAE;1;2;3;0;2;1;0;0;2;0;5;0;0
Coccoloba_hondurensis;Coccoloba;POLYGONACEAE;0;2;1;0;2;1;0;0;1;1;5;0;2
Coccoloba_microstachya;Coccoloba;POLYGONACEAE;1;2;3;0;2;2;0;0;1;1;5;2;2
